Planet Name,Discovery Year,Discovery Method,Orbital Period (days),SemiMajor Axis (AU),Mass (Jupiter Mass),Stellar_Luminosity,Right Ascension (RA),Declination (Dec),RASTR,DECSTR,GLON,GLAT,ELON,ELAT,Ri (AU),Ro (AU)
HD 20781 d,2019,Radial Velocity,29.158,0.1647,0.0334,-0.31,50.0139757,-28.7841175,03h20m03.35s,-28d47m02.82s,224.6733,-57.2719,37.01168,-45.14521,0.5308655025693249,0.764791252811745
HD 27894 c,2017,Radial Velocity,36.07,0.198,0.162,-0.409,65.1975693,-59.4096776,04h20m47.42s,-59d24m34.84s,270.09987,-42.00943,20.87252,-76.79263,0.6097689577357819,0.8784634956602051
HD 30177 c,2016,Radial Velocity,12085.45186,10.258,6.15,0.084,70.4770964,-58.0208085,04h41m54.50s,-58d01m14.91s,267.36972,-39.73385,34.25852,-77.63439,0.27633971188310297,0.39810873644989986
HD 60292 b,2020,Radial Velocity,495.4,1.5,6.5,2.394,114.6201698,66.2350517,07h38m28.84s,+66d14m06.19s,149.84929,29.36828,103.48365,43.9444,1.4752503639598387,2.1253190659464454
Kepler-464 b,2016,Transit,7.25696522,0.0765,0.0343,0.484,294.8351052,48.9823204,19h39m20.43s,+48d58m56.35s,81.7411,12.87628,318.21533,68.30456,0.6633249580710799,0.9556189340787525
Kepler-993 b,2016,Transit,22.08557563,0.13,0.0287,-1.229,292.6141076,44.3946644,19h30m27.39s,+44d23m40.79s,76.83877,12.19619,310.04769,64.72134,1.057011223815872,1.5227829538474293
Kepler-952 b,2016,Transit,130.3546919,0.5183,0.143,0.097,285.3718781,41.9938697,19h01m29.25s,+41d59m37.93s,72.35059,16.02646,296.71718,64.01394,0.2969542358374741,0.42780704520207274
Kepler-855 b,2016,Transit,7.8866311,0.0762,0.166,0.333,295.0949565,43.537565,19h40m22.79s,+43d32m15.23s,76.88822,10.21625,313.11627,63.26894,0.5502065727772367,0.7926549607442401
TOI-2152 A b,2023,Transit,3.3773512,0.05064,2.83,0.653,26.3389717,77.7901231,01h45m21.35s,+77d47m24.44s,125.86056,15.22604,68.23753,59.24957,0.7704780098330929,1.1099889511603767
Kepler-1043 b,2016,Transit,38.5053398,0.2159,0.0221,-0.073,281.6629579,47.5685927,18h46m39.11s,+47d34m06.93s,76.89006,20.43192,293.56895,70.05528,0.2576114057328137,0.37112780690296404
OGLE-TR-211 b,2007,Transit,3.67724,0.051,1.03,0.267,160.0598236,-62.4555353,10h40m14.36s,-62d27m19.93s,288.39931,-3.34519,205.56944,-61.18975,0.4926735965396083,0.7097700929918507
Kepler-1027 b,2016,Transit,1.9078052,0.0295,0.00201,0.011,287.5711746,42.8138159,19h10m17.08s,+42d48m49.74s,73.78894,14.84869,300.81368,64.38493,0.09999999999999999,0.14406497485902697
GJ 896 A b,2022,Astrometry,284.39,0.63965,2.26,-1.755,352.9700384,19.9370011,23h31m52.81s,+19d56m13.20s,98.57856,-39.14311,1.84254,21.01514,1.2631130374810267,1.8197034798881329
K2-411 b,2022,Transit,3.2141,0.0511,0.00295,0.258,58.003631,19.3909877,03h52m00.87s,+19d23m27.56s,171.0844,-26.15051,60.00572,-0.77899,0.4842989309769892,0.6977051331545359
Oph 11 b,2006,Imaging,7300000.0,243.0,14.0,-2.77,245.604961,-24.0872219,16h22m25.19s,-24d05m14.00s,352.67855,17.80321,247.82588,-2.50633,1.5868780098614443,2.2861354059503176
TYC 1422-614-1 b,2014,Radial Velocity,198.4,0.69,2.5,1.35,154.2777769,19.5584068,10h17m06.67s,+19d33m30.26s,216.62648,53.92308,149.0846,8.30635,1.1078234188139946,1.5959855297967944
TYC 1422-614-1 c,2014,Radial Velocity,559.3,1.37,10.0,1.35,154.2777769,19.5584068,10h17m06.67s,+19d33m30.26s,216.62648,53.92308,149.0846,8.30635,1.1078234188139946,1.5959855297967944
TYC 4282-00605-1 b,2017,Radial Velocity,101.54,0.422,10.78,1.91,343.8721029,62.2391907,22h55m29.30s,+62d14m21.09s,109.87526,2.34353,27.53582,59.69442,1.3177115148482372,1.8983607625806167
Kepler-1321 d,2021,Transit,5.72092009,0.0501,0.0233,-0.862,294.528597,46.6408737,19h38m06.86s,+46d38m27.15s,79.5069,12.00174,315.11778,66.28024,0.8852323783258064,1.2753098032790395
