Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 11964 c,2008,37,0,G9 V CN+1,25,5029,2,29,-10,5,0,1.6173486762812743,2.3300329638674233,No
HD 164604 b,2009,641,1,K3.5 V,635,4410,0,270,-28,13,1,0.4845110178533889,0.6980106760597005,No
HD 21693 c,2019,53,0,G8 V,17,5156,0,51,-58,4,1,0.7504187164975307,1.0810905352596005,No
HD 143105 b,2016,2,0,F5,384,6106,3,238,68,13,0,1.808438138675426,2.6053259498238077,No
HD 1461 c,2015,13,0,G0 V,5,5491,1,4,-8,2,2,1.0661140269125744,1.5358969048401605,No
HD 147018 c,2009,1008,1,G9 V,2080,5167,0,245,-61,12,5,0.8040881417387303,1.1584093792403192,No
HD 148156 b,2009,1027,2,G0/2 V,270,6034,1,247,-46,13,0,1.2714627975249333,1.8317325595961764,No
HD 1666 b,2015,270,0,F7 V,2040,6043,5,5,-19,12,5,2.2095491032628285,3.18318636011345,No
GJ 414 A c,2021,749,1,K7 V,53,3846,0,167,30,8,0,0.32908164336907125,0.47409138678532536,No
HD 27894 d,2017,5019,5,K2 V,2063,4620,0,65,-59,12,5,0.5953929082215323,0.8577526435417802,No
HD 219828 c,2016,4789,5,G0 IV,5102,5617,2,349,18,12,15,1.5463352546924913,2.2277274959090088,No
Kepler-45 b,2011,2,0,M,160,3546,0,292,41,10,0,0.2194338674224398,0.3161273459343285,No
Kepler-411 c,2016,7,0,K2 V,26,4632,0,287,49,4,1,0.48955744261576606,0.7052808066248988,No
HD 152843 b,2021,11,0,G0,11,6036,2,253,20,3,1,1.6006768259550406,2.3060146668864,No
TOI-1789 b,2021,3,0,F,222,5717,5,142,26,16,0,2.224864965958447,3.205251153855336,No
TOI-1266 b,2020,10,0,M3,13,3326,0,197,65,2,5,0.15463352546924913,0.22277274959090085,No
TOI-2260 b,2022,0,0,G V,3,5260,0,247,49,1,4,0.7582347030355918,1.0923506343006433,No
WASP-174 b,2018,4,0,F6 V,104,6125,2,195,-41,16,0,1.5750837734742413,2.2691440422642795,No
HD 207496 b,2023,6,0,K2.5 V,6,4545,0,328,-77,2,3,0.5306444880106197,0.7644728482433117,No
HAT-P-17 b,2010,10,0,K,184,4972,0,324,30,11,0,0.6836025237881135,0.9848318040310197,No
HD 207832 c,2012,1155,2,G5 V,232,5436,0,328,-26,14,0,0.8381150849027522,1.2074302863548625,No
HD 133131 B b,2016,5769,6,G2 V,794,5531,0,225,-27,13,1,0.9436341670799311,1.3594463255648914,No
14 Her b,2002,1765,2,K0 V,2559,5064,0,242,43,12,7,0.7994727352698455,1.1517601950712784,No
HD 132563 b,2011,1544,2,F8,473,6015,2,224,44,13,1,1.4665729060034542,2.112817888323178,No
81 Cet b,2008,952,2,G5 III,1684,4511,59,39,-3,12,4,7.384203510045858,10.638050930286955,No
WASP-124 b,2016,3,0,F9,190,5776,1,332,-30,13,0,1.131888525840322,1.6306549201840708,No
