Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
HD 158038 b,2011,521,1,K0,486,4586,11,261,27,13,1,3.2908164336907126,4.740913867853254,No
Kepler-446 c,2015,3,0,M4,1,3085,0,282,44,1,5,0.07166443106668634,0.10324334459908639,No
Kepler-309 b,2014,5,0,M0 V,3,4439,0,297,46,1,4,0.49238368857495673,0.709352437155461,No
GJ 251 b,2020,14,0,M3.0 V,4,3177,0,103,33,1,3,0.123966305232997,0.1785920264675818,No
HD 113996 b,2017,610,1,K5 III,2002,3907,291,196,27,12,5,16.26685732085224,23.434843909639568,No
GJ 433 c,2014,5094,4,M1.5 V,32,3198,0,173,-32,6,0,0.134835316038517,0.1942504641519791,No
CoRoT-31 b,2020,4,0,G2 IV,266,5426,2,94,-4,16,0,1.5076608497622555,2.172011224169386,No
HD 40307 g,2013,197,0,K2.5 V,7,4682,0,88,-60,2,2,0.4568815888083398,0.6582063460522578,Yes
HD 70573 b,2007,851,1,G1-1.5 V,1900,5463,0,125,1,12,4,0.9523655065259886,1.3720251275427104,No
HD 154857 c,2014,3452,5,G5 V,819,5331,4,257,-56,13,1,2.0502350672306737,2.9536706341568255,No
HD 111232 c,2022,26472,17,G8 V,5740,5220,0,192,-68,12,17,0.7921431251761618,1.141200794132548,No
HD 149806 b,2022,16521,12,K0V,4003,5078,0,249,0,12,11,0.7191237918744282,1.0360055099691765,No
HD 98649 b,2012,5697,6,G3/G5 V,2665,5485,0,170,-23,12,7,0.9382177767454289,1.351643204191224,No
HD 81040 b,2005,1005,1,G2/G3,2151,5481,0,140,20,12,5,0.8725767911645279,1.2570775348168814,No
HD 224538 b,2016,1202,2,F8/G0 IV/V,2075,5823,2,359,-61,12,5,1.6379613789059932,2.359728648721491,No
HD 55696 b,2018,1827,3,G0 V,1357,5738,2,108,-38,12,3,1.5642409730446716,2.2535233645514055,No
HD 72659 b,2002,3549,4,G2 V,949,5658,2,128,-1,13,2,1.4665729060034542,2.112817888323178,No
HD 50554 b,2002,1293,2,F8 V,1859,5713,1,103,24,12,4,1.1240966600355364,1.6194295706713575,No
HD 27631 b,2012,2198,3,G3 IV/V,495,5463,0,64,-41,13,1,0.8939302987018437,1.287840460082036,No
HD 89307 b,2009,2166,3,G0 V,642,5681,1,154,12,13,1,1.1086734756596106,1.5972101639777185,No
Kepler-129 d,2021,2646,4,G4 V,2637,5496,2,285,47,12,7,1.6080652144871364,2.316658746967651,No
HD 86264 b,2009,1488,2,F7 V,3117,5936,4,149,-15,12,8,2.038466869565715,2.9367167831494414,Yes
HD 8673 b,2009,1644,2,F5,4210,6115,3,21,34,12,12,1.7551072387313817,2.528494802227328,No
HD 45652 b,2008,44,0,G8/K0,137,5020,0,97,10,14,0,0.757362255391094,1.0910937428209393,No
CoRoT-23 b,2011,3,0,G0 V,889,5626,1,279,4,11,3,1.0539103205615965,1.5183156383537546,No
51 Eri b,2015,11688,13,F0 IV,635,7021,7,69,-2,13,1,2.5369018047864063,3.654786947263738,No
HD 96992 b,2021,514,1,K0,362,4451,29,167,43,13,0,5.179688676733017,7.462117189911288,No
HIP 107772 b,2020,55,0,M0 V,12,3732,0,327,-41,3,1,0.24992152223052158,0.3600493781686984,No
HD 9446 c,2009,192,0,G5 V,578,5519,1,23,29,13,1,0.9995480066839852,1.4399985845331886,No
HD 164595 b,2015,40,0,G2 V,16,5516,1,270,29,4,1,0.972307548533646,1.4007546253474188,No
HD 220074 b,2012,672,1,M2 III,5288,3513,783,350,61,12,16,26.687239762686247,38.44696525468219,No
HD 92788 c,2019,11611,10,G6 V,1166,5470,1,160,-2,13,2,1.067342142870196,1.5376661897857475,No
HD 89839 b,2023,3441,4,F7 V,1592,6040,2,155,-53,12,4,1.4682623327846533,2.1152517605907737,No
bet Pic c,2019,1192,2,A5V,3222,7616,9,86,-51,12,9,2.8727885252330667,4.13868206663003,No
KOI-142 c,2013,22,0,G6 V,214,5192,0,291,40,14,0,0.7375707023492236,1.0625810469069576,No
TOI-181 b,2023,4,0,K,46,4720,0,352,-34,6,0,0.5203597033372194,0.7496560757892726,No
HD 187085 b,2006,1019,2,G0 V,265,5843,134,297,-37,13,0,11.073978026279171,15.95372365945326,No
Gl 686 b,2018,15,0,M1.0 V,6,3382,0,264,18,2,2,0.16379613789059932,0.23597286487214908,No
EPIC 211822797 b,2016,21,0,M0,4,3783,0,130,17,1,3,0.25281547706575414,0.3642185534745078,No
Gl 49 b,2019,13,0,M1.5 V,5,3531,0,15,62,2,2,0.21198428050358215,0.30539510041257484,No
KOI-55 b,2011,0,0,B,0,27456,22,296,41,0,5,4.563558871167997,6.57448994042507,No
HD 106515 A b,2012,3586,4,G5 V,3025,5088,0,183,-7,12,8,0.7894118791587602,1.1372660252442404,No
HD 137388 b,2011,330,0,K2 IV,63,4907,0,233,-80,9,0,0.6468501116117564,0.9318844506690649,Yes
HD 30177 b,2002,2514,3,G8 V,2670,5306,1,70,-58,12,7,1.0490680424896974,1.5113396116668691,No
PDS 70 b,2018,43500,20,K7,953,3698,0,212,-41,30,0,0.5640318874193012,0.8125723968075117,No
NGTS-8 b,2019,2,0,K0 V,295,4967,0,328,-14,12,0,0.7486928013432249,1.0786040960264618,No
HD 76700 b,2002,3,0,G6 V,66,5370,1,133,-66,9,0,1.2817509778037397,1.8465542239282902,No
GJ 163 d,2013,603,1,M,29,3226,0,62,-53,5,0,0.13344541524553946,0.19224810392401057,No
omi UMa b,2012,1630,3,G5 III,1303,4968,138,127,60,13,3,11.202208648309595,16.138459072842963,No
Gl 378 b,2019,3,0,M1,13,3605,0,150,48,3,1,0.2335090179795495,0.3364047080457988,No
BD+48 740 b,2018,733,1,K3 III,540,4260,43,40,48,13,1,6.299464856349204,9.075322461552721,No
Kepler-39 b,2011,21,0,F7 V,6388,6076,2,296,46,13,13,1.420050069475855,2.0457947755759855,No
Kepler-296 d,2014,19,0,M2 V,5,3466,0,286,49,2,1,0.16780452099274704,0.24174754098051165,No
HD 155193 b,2021,352,1,F8 IV,238,5965,4,257,10,14,0,1.9943604697388175,2.8731749093276,No
HD 164922 b,2005,1207,2,G9 V,116,5116,0,270,26,13,0,0.803162933749146,1.1570764785827308,No
HD 177565 b,2017,44,0,G8V,15,5353,0,286,-37,4,1,0.8959910208653994,1.2908092389488768,No
HD 107148 c,2021,18,0,G5 V,19,5479,1,184,-3,4,1,1.0959825953273723,1.5789270504176902,No
HD 137496 c,2021,479,1,G,2434,5525,2,231,-16,12,6,1.4531272847824404,2.093447457491484,No
HD 47366 b,2016,359,1,K1 III,731,4640,24,99,-12,13,1,4.718496719242018,6.797701112300025,No
HD 5891 b,2011,177,0,G5,2425,4399,39,15,20,12,6,5.981411170191266,8.61711849855108,No
HD 109749 b,2005,5,0,G3 V,85,5550,1,189,-40,11,0,1.186598124093518,1.7094722891530123,No
HD 88133 b,2004,3,0,G5,324,5118,3,152,18,13,0,1.6896768636410435,2.4342325488032652,No
K2-233 b,2018,2,0,K3,11,4759,0,230,-20,1,26,0.5221600694133806,0.7522497727242646,No
HD 159868 c,2012,351,1,G5 V,244,5260,3,264,-43,14,0,1.8063572953850953,2.6023281834607372,No
HD 197037 b,2012,1035,2,F7 V,251,5876,1,309,42,13,0,1.2554622465465706,1.808681369851892,No
HD 211970 b,2019,25,0,K7 V,13,3853,0,335,-54,3,1,0.27977161987862376,0.40305291384083186,No
HD 285507 b,2013,6,0,K4.5 V,311,4229,0,61,15,13,0,0.4166809612953556,0.600291322132506,No
Kepler-114 b,2014,5,0,M0 V,6,4331,0,294,48,1,18,0.433314934368078,0.6242550512577808,No
GJ 1061 d,2020,13,0,M5.5 V,1,2679,0,54,-44,1,5,0.039291956758022537,0.05660594762506492,Yes
HD 43197 b,2010,308,0,G8 V,175,5234,0,93,-29,14,0,0.8143360431299336,1.173173015803134,Yes
HD 72892 b,2016,39,0,G5 V,1737,5414,1,128,-14,12,4,1.1279858649068493,1.6250325526914304,No
HD 74156 b,2003,51,0,G0,532,5794,2,130,4,13,1,1.512877128868536,2.179526055352426,No
HD 192310 c,2011,525,1,K3V,24,4892,0,303,-27,5,0,0.5912942522708159,0.8518479158768224,No
HD 72490 b,2018,858,1,G5,561,4660,12,128,13,13,1,3.3481403701823234,4.8234975825480975,No
HD 60532 c,2008,600,1,F6 IV,797,5971,10,113,-22,13,1,3.0185867224097067,4.3487262027374705,No
18 Del b,2008,993,2,G6 III,3273,4705,39,314,10,12,9,6.02981041282769,8.686844855287202,No
gam Lib c,2018,964,2,K0 III,1455,4548,70,233,-14,12,3,8.022387903316897,11.557451116007108,No
HD 39091 b,2001,2088,3,G0 V,3917,5676,1,84,-80,12,11,1.1463141607882066,1.651437207544996,No
alf Ari b,2010,380,1,K2III,572,4279,85,31,23,13,1,8.836975631893093,12.730986722385126,No
HD 171028 b,2007,550,1,G0,832,5397,5,278,6,13,1,2.2171938098448614,3.1941997047289017,No
GJ 3942 b,2017,6,0,M0,7,3593,0,242,52,2,2,0.26260540308593383,0.37832240793419697,No
ups And d,1999,1276,2,F8 V,3257,5883,3,24,41,12,9,1.745033052976433,2.5139814290522096,Yes
CoRoT-22 b,2014,9,0,G3 V,12,5665,1,280,6,4,0,0.9689551100219421,1.395924935648368,No
K2-139 b,2017,28,0,K0 V,123,5096,0,289,-17,9,0,0.6757773904060332,0.9735585275914403,No
HD 216520 b,2020,35,0,K2,10,4829,0,341,83,3,1,0.5666353403219562,0.8163230605771881,No
HD 158996 b,2018,820,2,K5 III,4449,3795,1035,259,80,12,13,30.676348109657027,44.19387319184499,No
GJ 3323 b,2017,5,0,M4,2,2885,0,75,-6,1,5,0.049522625063012825,0.07134475734655961,No
BD+55 362 b,2021,265,0,K3,228,4738,0,23,56,14,0,0.6649724571818141,0.9579924032584344,Yes
HD 18742 b,2011,766,1,G8/K0 IV,1080,4666,13,45,-20,13,2,3.554705755900266,5.121085953550104,No
HD 33564 b,2005,388,1,F6 V,2892,5976,3,80,79,12,8,1.765239583395385,2.5430919620201538,No
HD 190360 b,2003,2854,3,G V,572,5278,1,300,29,13,1,1.0287353354352975,1.482047302360788,No
HD 34445 f,2017,676,1,G0 V,37,5562,2,79,7,6,0,1.3514614354329464,1.9469825771859195,Yes
K2-138 f,2017,12,0,G8 V,1,5083,0,348,-10,2,0,0.6851783903560982,0.9871020758059985,No
K2-138 g,2021,41,0,G8 V,4,5083,0,348,-10,3,0,0.6851783903560982,0.9871020758059985,No
K2-146 c,2019,4,0,M3.0 V,7,3111,0,130,19,2,3,0.11676257321833494,0.1682139717517472,No
HD 1461 b,2010,5,0,G0 V,6,5491,1,4,-8,2,2,1.0636620326927948,1.53236443998389,No
HD 20003 c,2019,33,0,G8 V,14,5220,0,46,-72,3,1,0.8087301932399387,1.165096949568478,No
HD 167042 b,2007,420,1,K1 IV,540,4736,10,272,54,13,1,3.0960192863964386,4.460279406577657,No
K2-285 b,2018,3,0,K2 V,9,4701,0,349,1,2,3,0.586548133897957,0.8450104216361837,No
Kepler-114 d,2013,11,0,M0 V,3,4386,0,294,48,2,1,0.433314934368078,0.6242550512577808,No
HD 126525 b,2018,960,1,G4 V,75,5364,0,216,-51,10,0,0.9105497037783423,1.3117832018272135,No
HD 6718 b,2009,2496,3,G5 V,533,5527,1,16,-8,13,1,1.0134531045672952,1.460030960302902,No
OGLE-TR-132 b,2004,1,0,F5 V,375,5936,2,162,-61,13,0,1.4615162801470345,2.1055330615544112,No
K2-24 c,2016,42,0,G9 V,15,5351,1,242,-24,7,0,1.1436777113790904,1.6476390073665816,No
HIP 57274 b,2011,8,0,K4 V,6,4236,1,176,30,2,2,1.186598124093518,1.7094722891530123,No
HD 221416 b,2019,14,0,K0 IV/V,60,4806,5,353,-21,9,0,2.1642312189147113,3.1178991614206923,No
HIP 54373 c,2019,15,0,K5 V,12,3747,0,166,-19,3,1,0.2335090179795495,0.3364047080457988,No
HD 79181 b,2021,273,0,G8 III,203,4588,61,137,-19,14,0,7.486928013432249,10.786040960264618,No
HD 161178 b,2021,279,0,G9 III,181,4512,56,264,72,14,0,7.158197181781777,10.312454970293494,No
Kepler-296 e,2014,34,0,M2 V,2,3466,0,286,49,1,4,0.15660429090966013,0.22561193232715934,Yes
TOI-125 b,2019,4,0,K0 V,9,5046,0,23,-66,2,2,0.6867578896717009,0.9893775810979203,No
K2-151 b,2018,3,0,M1.5 V,2,3421,0,19,9,1,4,0.15951578205290143,0.22980637131069273,No
HD 4760 b,2021,434,1,K2,4417,3802,851,12,6,12,13,27.8165751470459,40.07394199223402,No
HD 68988 c,2021,16000,13,G2 V,4767,5610,1,124,61,12,14,1.2311292719033733,1.7736260760497164,No
HD 24085 b,2019,2,0,G0 V,11,5760,2,56,-70,3,1,1.4716470270225341,2.120127919493632,No
LTT 1445 A c,2022,3,0,M2.5V,1,3066,0,45,-16,1,5,0.09042815237071992,0.13027529497836027,No
HD 93963 A b,2022,1,0,G0 V,7,5713,1,162,25,1,17,1.067342142870196,1.5376661897857475,No
HD 93963 A c,2022,3,0,G0 V,19,5713,1,162,25,3,3,1.067342142870196,1.5376661897857475,No
WASP-157 b,2016,3,0,G2 V,182,5498,1,201,-8,11,0,1.0442480126646068,1.5043956369111546,No
nu Oph c,2012,3184,5,K0 III,7838,4612,109,269,-9,12,24,9.97249110062318,14.36686679693149,No
K2-180 b,2018,8,0,K2 V,11,5032,0,126,10,2,5,0.5751798423317126,0.8286326952493728,No
GJ 1148 b,2010,41,0,M5,96,3013,0,175,42,11,0,0.11086734756596105,0.15972101639777184,No
HD 187123 b,1998,3,0,G3 V,166,5516,1,296,34,14,0,1.1035795837455227,1.5898716498723418,No
HD 216536 b,2015,148,0,K0,333,4365,63,343,44,13,0,7.5736225539109405,10.910937428209394,No
Wolf 1061 b,2015,4,0,M3.5,1,3068,0,247,-12,1,5,0.09633933793475113,0.13879124297505227,No
K2-32 b,2016,8,0,G9 V,15,4997,0,252,-19,5,0,0.6781154782343585,0.9769268932334991,No
BD-08 2823 c,2009,237,0,K3 V,104,4472,0,150,-9,12,0,0.4637710737662944,0.6681316808248514,No
HD 180314 b,2010,396,1,K0,6397,4650,43,288,31,12,19,6.321260054464289,9.106721708237693,No
K2-138 d,2017,5,0,G8 V,7,5083,0,348,-10,2,3,0.6851783903560982,0.9871020758059985,No
GJ 422 b,2014,20,0,M3.5 V,11,3049,0,168,-57,3,1,0.09995480066839851,0.14399985845331884,Yes
HD 82943 c,2003,220,0,G2/3V,622,5661,1,143,-12,13,1,1.1920752121790705,1.7173628547264708,No
HD 75784 b,2014,341,1,G5,317,4593,5,133,13,13,0,2.2766887284362376,3.279911044239967,No
CoRoT-8 b,2010,6,0,K1 V,69,4806,0,291,1,6,1,0.6015942233716082,0.866686566653666,No
Kepler-69 c,2013,242,0,G4 V,3,5364,0,293,44,1,3,0.852714518468162,1.2284629566504306,No
HD 99706 b,2011,841,1,K0,390,4588,15,172,43,13,0,3.7437225676027075,5.39339297580856,No
HIP 4845 b,2020,34,0,K7V,14,3736,0,15,-10,3,1,0.28993701101794545,0.4176976820300174,No
Teegarden's Star b,2019,4,0,M7.0 V,1,2630,0,43,16,1,5,0.025751566770597027,0.03709898819386615,No
Kepler-235 e,2014,46,0,M0 V,5,3981,0,286,39,2,2,0.26810422464540046,0.38624428383138537,No
Kepler-267 b,2014,3,0,M1 V,37,3984,0,299,47,1,26,0.2316347203076124,0.3337045015759393,No
GJ 685 b,2019,24,0,M0.5,9,3542,0,263,61,2,1,0.22532203110958382,0.3246101274698709,No
Kepler-42 b,2011,1,0,M,0,2794,0,292,44,0,4,0.04669857812726879,0.06727629483857285,No
POTS-1 b,2013,3,0,K5 V,734,4126,0,203,-66,10,3,0.2727744303090659,0.39297241444660985,No
Kepler-52 d,2014,36,0,M0 V,4,3989,0,286,49,1,3,0.3029030577108915,0.43637721393841983,No
K2-133 b,2017,3,0,M1.5 V,2,3381,0,70,25,1,5,0.17370153543902156,0.25024307335997026,No
HD 121504 b,2003,63,0,G2 V,479,5753,1,209,-56,13,1,1.186598124093518,1.7094722891530123,No
Kepler-80 e,2014,4,0,K5,4,4266,0,296,39,1,3,0.39291956758022534,0.5660594762506491,No
GJ 3779 b,2018,3,0,M4.0 V,8,3050,0,200,24,2,2,0.08877765258105202,0.1278975028713269,No
KOI-1257 b,2014,86,0,G5 V,460,5246,1,291,44,10,2,0.9858336938959827,1.4202410632630644,No
CoRoT-29 b,2015,2,0,K0 V,270,4986,0,278,6,10,1,0.8556647820682343,1.2327132531641496,No
HD 10442 b,2014,1032,2,K0 IV,472,4638,2,25,2,13,1,1.36239693343938,1.9627367996395972,No
HD 128311 c,2005,921,1,K0,1204,4691,0,219,9,13,3,0.5288148683390322,0.7618370071234234,No
tau Cet h,2017,49,0,G8.5V,1,5036,0,26,-15,1,5,0.6711253715722504,0.9668565978281138,No
HD 175541 b,2007,298,0,G8 IV,190,4739,8,283,4,14,0,2.7944970624187877,4.025891490409874,No
11 UMi b,2009,516,1,K4 III,4684,3939,269,229,71,12,13,15.64240973044672,22.535233645514058,No
HD 215497 c,2009,567,1,K3 V,104,4839,0,341,-56,12,0,0.594707831241741,0.8567656875630787,No
HD 45184 b,2019,5,0,G1.5 V,12,5595,1,96,-28,3,1,1.0134531045672952,1.460030960302902,No
HD 47366 c,2016,682,1,K1 III,597,4640,24,99,-12,13,1,4.718496719242018,6.797701112300025,No
K2-154 c,2018,7,0,M0.0 V,4,3823,0,189,-2,2,3,0.2953273425010309,0.4254632617259426,No
Kepler-83 d,2014,5,0,M0 V,24,4374,0,282,43,1,18,0.26810422464540046,0.38624428383138537,No
14 And b,2008,185,0,K0 III,1525,4539,57,352,39,12,3,7.257777623956754,10.455915509277384,No
DMPP-1 b,2019,18,0,F8 V,24,5922,2,86,-10,5,0,1.3781727464139675,1.9854642206352437,No
GJ 180 b,2014,17,0,M2 V,6,3097,0,73,-17,2,2,0.10871855148348086,0.156625353861775,No
GJ 3293 e,2017,13,0,M2.5,3,3192,0,67,-25,1,4,0.14135255320666784,0.20363952023977877,No
GJ 163 b,2013,8,0,M,10,3226,0,62,-53,3,1,0.13344541524553946,0.19224810392401057,No
HD 141399 d,2014,1069,2,K0,375,5326,1,236,46,13,0,1.2017210191288836,1.7312590840836688,No
HD 93083 b,2005,143,0,K3 V,117,4721,0,161,-33,13,0,0.6106658831938422,0.8797556510958637,No
HD 159243 c,2013,248,0,G0 V,603,5849,1,263,5,13,1,1.0871855148348084,1.5662535386177499,No
HD 152581 b,2011,686,1,K0,594,4753,14,253,11,13,1,3.6796258180701362,5.301052009709008,No
HD 208897 b,2017,352,1,K0,444,4586,12,329,19,13,0,3.3442878992155913,4.817947521218423,No
HD 102117 b,2005,20,0,G6 V,54,5381,1,176,-58,8,0,1.1423617614214285,1.6457431843909187,No
HD 195019 b,1998,18,0,G3 IV-V,1264,5477,2,307,18,13,3,1.3989547184576363,2.0154037634351654,No
HR 8799 d,2008,37000,24,A5 V,3000,6931,4,346,21,13,7,2.1149673018780195,3.04692711172721,No
gam Cep b,2003,903,2,K1 IV,2987,4614,11,354,77,12,8,3.2794699623361594,4.72456757674893,No
OGLE-TR-10 b,2004,3,0,G2 V,197,5676,1,267,-29,14,0,1.1838690241398249,1.7055406119908467,No
HD 208487 b,2004,130,0,G2 V,165,5793,1,329,-37,14,0,1.2627101091921875,1.8191230013501172,No
iot Dra b,2002,510,1,K2 III,3756,4230,52,231,58,12,10,6.9231486624277245,9.973832379979564,No
Kepler-155 b,2014,5,0,M0 V,5,4234,0,288,51,2,3,0.23675745200165624,0.34108456370305895,No
K2-265 b,2018,2,0,G8 V,6,5203,0,342,-14,1,7,0.7750034885596533,1.1165085809500466,No
HD 40307 f,2013,51,0,K2.5 V,5,4682,0,88,-60,2,2,0.4568815888083398,0.6582063460522578,No
HD 45184 c,2019,13,0,G1.5 V,8,5595,1,96,-28,2,1,1.0134531045672952,1.460030960302902,No
K2-14 b,2015,8,0,M0,20,3515,0,178,2,4,1,0.31282658769092603,0.4506735449092846,No
K2-292 b,2019,16,0,G3 V,24,5451,1,205,-9,2,7,1.0612156779032282,1.5288400995713385,No
K2-239 c,2018,7,0,M3.0 V,0,3146,0,160,4,1,5,0.1205878792572857,0.17372489793504248,No
HD 45364 c,2008,345,0,K0 V,174,5192,0,96,-31,14,0,0.7608580807267517,1.09613000271187,Yes
HIP 75092 b,2021,926,2,K0 III,568,4617,10,230,-25,13,1,3.0853444599957327,4.444900720607234,No
HIP 114933 b,2021,1481,2,K0 III,616,4549,13,349,-21,13,1,3.542449415309444,5.103428859559299,No
CFHTWIR-Oph 98 b,2021,8040000,200,M9-L1,2479,2046,0,246,-23,20,1,0.03583469046282024,0.051625237806072116,No
NGTS-16 b,2021,4,0,G7 V,211,5276,1,58,-30,14,0,1.0909470127118528,1.5716725395886364,No
NGTS-15 b,2021,3,0,G6 V,238,5326,0,73,-32,12,0,0.8635821508165425,1.2441194084608964,No
NGTS-17 b,2021,3,0,G4 V,242,5376,1,72,-34,13,0,1.2583563859226752,1.8128508110164623,No
TOI-3235 b,2023,2,0,M V,211,3115,0,207,-46,11,0,0.12142375450383855,0.17492910139884166,No
HD 106252 b,2002,1531,2,G0,3178,5600,1,183,10,12,8,1.0985090961388362,1.582566853176539,No
HD 106315 b,2017,9,0,F5 V,12,6053,2,183,0,2,4,1.426604722781376,2.055237735212681,No
HD 109286 b,2021,520,1,G4 V,950,5420,0,188,7,13,2,0.8655729132739993,1.2469873998947345,No
Kepler-129 c,2014,82,0,G4 V,43,5496,2,285,47,2,14,1.626685732085224,2.343484390963957,No
HD 24040 b,2006,3668,4,G0 V,1226,5528,1,57,17,13,3,1.3100976192275602,1.8873918057688956,No
HD 3765 b,2021,1211,2,K2V,54,4776,0,10,40,8,0,0.5906138913277814,0.8508677540552891,No
Proxima Cen b,2016,11,0,M5.5 V,1,2626,0,217,-62,1,5,0.038133235666239655,0.05493663637550167,Yes
HD 39194 d,2021,33,0,K0 V,4,4931,0,86,-70,1,3,0.5953929082215323,0.8577526435417802,No
HD 25723 b,2020,457,1,K1 III,794,4492,87,61,-12,13,1,8.939302987018436,12.878404600820359,No
CD Cet b,2020,2,0,M5.0 V,3,2856,0,48,4,1,3,0.05161829525248794,0.07436388407815507,No
17 Sco b,2020,578,1,K3 III,1373,3883,179,243,-11,12,3,12.7733160314509,18.401874529373803,No
HD 39194 c,2021,14,0,K0 V,6,4931,0,86,-70,2,2,0.5953929082215323,0.8577526435417802,No
HD 96700 d,2021,103,0,G0 V,12,5571,1,166,-30,3,1,1.1202208648309593,1.613845907284296,No
HD 189567 c,2021,33,0,G3 V,7,5452,2,301,-67,2,2,1.384534102778814,1.9946287070829534,No
HD 93385 b,2021,7,0,G2/G3 V,4,5703,1,161,-41,1,3,1.2100509512857376,1.7432595987512147,No
HD 93385 c,2021,13,0,G2/G3 V,7,5703,1,161,-41,2,2,1.2100509512857376,1.7432595987512147,No
HD 96700 b,2021,8,0,G0 V,8,5571,1,166,-30,2,1,1.1202208648309593,1.613845907284296,No
HD 93385 d,2021,45,0,G2/G3 V,8,5703,1,161,-41,2,1,1.2100509512857376,1.7432595987512147,No
HD 154088 b,2021,18,0,K0 IV-V,6,5100,0,256,-28,2,2,0.8199807509149988,1.1813050626545536,No
HD 156668 b,2010,4,0,K2,4,4576,1,259,29,1,3,1.2425207708019665,1.7900372360740413,No
K2-264 c,2018,19,0,M2.5 V,7,3386,0,131,19,2,2,0.17330203299358732,0.24966753026239422,No
HD 164922 c,2016,75,0,G9 V,13,5116,0,270,26,3,1,0.803162933749146,1.1570764785827308,No
HD 164922 d,2020,12,0,G9 V,4,5116,0,270,26,1,3,0.803162933749146,1.1570764785827308,No
HD 190007 b,2020,11,0,K3/4V,16,4336,0,300,3,4,1,0.435816488783779,0.6278589149978453,No
BD-11 4672 c,2020,74,0,K7V,15,4276,0,278,-11,4,1,0.3778362806023448,0.5443297426580507,No
HD 331093 b,2021,621,1,K0,476,5270,1,295,31,13,1,0.9600716761768265,1.383127018912784,No
HD 168009 b,2021,15,0,G2V,9,5505,1,273,45,3,1,1.1331924110962535,1.6325333621502192,No
HD 360 b,2021,273,0,G8 III,238,4496,55,2,-8,14,0,7.084409510780167,10.206152780615964,No
HD 22496 b,2021,5,0,K5/M0V,5,4111,0,53,-48,2,2,0.24677641876007494,0.3555183856447091,No
HD 211403 b,2021,223,0,F7 V,1760,5999,2,333,58,12,4,1.4497851847697345,2.0886326619484157,No
HD 29021 b,2017,1362,2,G5,1420,5286,0,69,60,12,3,0.7741117462464031,1.1152238926106555,No
K2-138 e,2017,8,0,G8 V,12,5083,0,348,-10,3,1,0.6851783903560982,0.9871020758059985,No
HD 18438 b,2023,803,2,M2.5 III,6674,3586,928,46,79,12,20,29.060538485593643,41.866057463168346,No
GJ 3512 b,2019,203,0,M5.5 V,146,2807,0,130,59,14,0,0.03778362806023449,0.05443297426580508,No
GJ 480 b,2020,9,0,M3.5 Ve,13,3107,0,189,11,3,1,0.14904027987255877,0.21471484172822525,No
HIP 38594 c,2020,3477,3,M0,48,3813,0,118,-25,7,0,0.2807395874792504,0.4044474161213181,No
HD 27969 b,2021,654,1,G0 V,1525,5692,3,66,42,12,3,1.751070604097725,2.5226794255571994,No
GJ 740 b,2021,2,0,M1.0 V,2,3639,0,284,5,1,4,0.2378502747469431,0.3426589385163102,No
HD 95735 c,2021,2946,2,M1.5 V,13,3445,0,165,35,3,1,0.13313849930730184,0.1918059455547502,No
K2-146 b,2018,2,0,M3.0 V,5,3111,0,130,19,2,3,0.11676257321833494,0.1682139717517472,No
TIC 172900988 b,2021,200,0,F9,942,5776,4,128,31,11,3,2.0644466177850735,2.974144500890099,No
gam Psc b,2021,555,1,G7 III,425,4468,58,349,3,13,0,7.282888439684209,10.492091399642037,No
HIP 34222 b,2021,159,0,K7 V,263,3776,0,106,27,13,0,0.2902710055635077,0.4181788511881122,No
ups Leo b,2021,385,1,G9 III,162,4562,63,174,0,14,0,7.5736225539109405,10.910937428209394,No
HD 99283 b,2021,310,1,K0 III,308,4612,64,171,55,13,0,7.661320969855688,11.03728012909196,No
HIP 75056 A b,2021,47000,30,A2 V,7945,8336,13,230,-34,22,3,3.497869941518888,5.0392054518506475,No
HD 219139 b,2021,275,0,G5 III,247,4557,62,348,11,14,0,7.5301505205432715,10.848309454267554,No
HD 10975 b,2021,283,0,K0 III,143,4566,61,27,37,14,0,7.486928013432249,10.786040960264618,No
HIP 5763 b,2021,30,0,K6 V,162,4078,0,18,16,14,0,0.4067276125157054,0.5859520327154716,No
HD 150010 b,2022,562,1,K2 III,762,3879,95,247,72,13,1,9.339070576279054,13.454329677783205,No
CoRoTID 223977153 b,2017,6,0,G0 VI,47,5696,0,100,9,6,1,0.7976339990031162,1.1491112201308908,No
HD 83443 c,2022,8241,8,K0 V,476,5168,0,144,-43,13,1,0.845870068302508,1.2186025012400425,No
Ross 508 b,2022,10,0,M4.5 V,4,2797,0,230,17,1,3,0.05712203321478462,0.0822928427898445,No
HD 184010 b,2022,286,0,K0 III-IV,98,4697,13,292,26,12,0,3.4498773667261204,4.970064961041248,No
HD 184010 c,2022,484,1,K0 III-IV,95,4697,13,292,26,11,0,3.4498773667261204,4.970064961041248,No
NGTS-25 b,2022,2,0,K0 V,203,5047,0,307,-39,11,0,0.681245517066422,0.9814361828899891,No
Wolf 1069 b,2023,15,0,M5.0 V,1,2884,0,306,58,1,5,0.051737287712220234,0.07453531053535253,Yes
TOI-2525 c,2023,49,0,K8 V,208,4822,0,86,-60,10,1,0.5745180231132094,0.827679245558624,No
